"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-07","0.00",,,"58","69","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-08","0.00",,,"60","67","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-09","0.00",,,"55","64","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-10","0.00",,,"55","59","48"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-11","0.00",,,"54","69","45"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-12","0.09",,,"60","74","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-13","0.09",,,"60","62","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-14","0.17",,,"53","56","46"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-15","0.06",,,"49","58","40"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-16","0.26",,,"52","56","46"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-17","0.00",,,"50","56","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-18","0.00",,,"48","57","40"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-19","0.00",,,"53","66","41"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-20","0.26",,,"57","58","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-21","0.09",,,"60","69","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-22","0.63",,,"60","62","47"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-23","0.00",,,"50","59","40"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-24","0.13",,,"52","57","46"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-25","0.03",,,"50","58","41"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-26","0.00",,,"51","64","40"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-27","0.00",,,"56","71","44"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-28","0.00",,,"60","77","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-29","0.00",,,"65","81","52"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-30","0.00",,,"66","82","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-03-31","0.00",,,"62","67","52"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-01","0.00",,,"56","69","47"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-02","0.00",,,"58","65","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-03","0.00",,,"56","67","46"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-04","0.00",,,"56","64","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-05","0.06",,,"58","63","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-06","1.01",,,"59","63","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-07","0.73",,,"62","65","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-08","0.00",,,"58","65","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-09","0.00",,,"59","75","48"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-10","0.00",,,"62","65","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-11","0.10",,,"56","62","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-12","0.00",,,"54","61","45"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-13","0.00",,,"54","68","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-14","0.00",,,"59","72","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-15","0.00",,,"58","65","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-16","0.04",,,"52","57","45"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-17","0.00",,,"51","63","41"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-04-18","0.00",,,"53","59","47"
